metric,value
mean_long_return,0.02548744827398749
mean_short_return,-0.021130208434980813
mean_long_short_return,0.002178619919503338
annualized_return,0.006473077850665421
annualized_volatility,0.06704816405613236
sharpe_ratio,0.12997342732185235
sortino_ratio,0.41427707545237724
var_95,-0.04678551546824823
cvar_95,-0.05924156577507193
win_rate,0.6153846153846154
best_quarter,0.05908853712080858
worst_quarter,-0.05924156577507193
num_quarters,13
max_drawdown,-0.1314218518804402
long_only_mean_return,0.02548744827398749
long_only_annualized_return,0.09662690856652456
long_only_annualized_volatility,0.1315607104306126
long_only_sharpe_ratio,0.7749258328132854
long_only_sortino_ratio,1.382432221093141
long_only_var_95,-0.06997094663488379
long_only_cvar_95,-0.11489432279708085
long_only_win_rate,0.6153846153846154
long_only_best_quarter,0.11304618615224486
long_only_worst_quarter,-0.11489432279708085
long_only_max_drawdown,-0.16467851808597356
short_only_mean_return,-0.021130208434980813
short_only_annualized_return,-0.08746166678697909
short_only_annualized_volatility,0.1065776707914938
short_only_sharpe_ratio,-0.7930444821343294
short_only_sortino_ratio,-0.9892795070285023
short_only_var_95,-0.10757355988550077
short_only_cvar_95,-0.14151198549231805
short_only_win_rate,0.38461538461538464
short_only_best_quarter,0.05253099878393089
short_only_worst_quarter,-0.14151198549231805
short_only_max_drawdown,-0.3276288410915459
target_name,target_pe_scaled_change
classification_scheme,train_terciles
start_year,2010
holding_period_days,60
return_column,holding_period_return
periods_per_year,4.0
lower_threshold,-0.05349486397611545
upper_threshold,0.0652251783278604
