quarter_end,long_return,short_asset_return,short_return,long_short_return,long_ret_cum,short_ret_cum,ls_ret_cum,long_equity_curve,short_equity_curve,ls_equity_curve,equity_curve,is_initial_row
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True
2023-03-31,0.08262761019549372,0.19927612389930333,-0.19927612389930333,-0.0583242568519048,0.0826276101954937,-0.19927612389930327,-0.05832425685190479,1.0826276101954937,0.8007238761006967,0.9416757431480952,0.9416757431480952,False
2023-06-30,-0.05992052932026466,-0.015130912174129697,0.015130912174129697,-0.022394808573067485,0.01775599073584644,-0.18716044125429498,-0.07941290485760744,1.0177559907358464,0.812839558745705,0.9205870951423926,0.9205870951423926,False
2023-09-30,0.19598483226179572,0.06773264503997478,-0.06773264503997478,0.06412609361091047,0.21722072786364888,-0.24221621456126752,-0.020379250617510225,1.2172207278636489,0.7577837854387325,0.9796207493824898,0.9796207493824898,False
2023-12-31,0.09842297657437926,0.08066038203729017,-0.08066038203729017,0.008881297268544544,0.3370232150480219,-0.3033393441964196,-0.011678947531809869,1.337023215048022,0.6966606558035804,0.9883210524681901,0.9883210524681901,False
2024-03-31,-0.1490904844118483,-0.03310845585043689,0.03310845585043689,-0.0579910142807057,0.13768577624662548,-0.28027398563101036,-0.06899268779941481,1.1376857762466255,0.7197260143689896,0.9310073122005852,0.9310073122005852,False
2024-06-30,-0.11532022203172095,-0.015778627964412095,0.015778627964412095,-0.049770797033654425,0.0064875999275337826,-0.2689176966139729,-0.11532966377179821,1.0064875999275338,0.7310823033860271,0.8846703362282018,0.8846703362282018,False
2024-09-30,-0.05705936853295044,-0.045941370040525745,0.045941370040525745,-0.005558999246212348,-0.05094194696057619,-0.23533077398403546,-0.12024754550403727,0.9490580530394238,0.7646692260159645,0.8797524544959627,0.8797524544959627,False
2024-12-31,-0.05551789781631813,-0.023850843248567587,0.023850843248567587,-0.01583352728387527,-0.10363165497097271,-0.21709276813732525,-0.13417712999535525,0.8963683450290273,0.7829072318626747,0.8658228700046448,0.8658228700046448,False
2025-03-31,0.19190036818583797,-0.032758708787932966,0.032758708787932966,0.11232953848688547,0.06838176047022793,-0.19144573812076904,-0.03691964659634295,1.068381760470228,0.808554261879231,0.963080353403657,0.963080353403657,False
2025-06-30,0.09827255326269468,0.08140492147957916,-0.08140492147957916,0.008433815891557762,0.17337436393092998,-0.2572660343210269,-0.02879720420696008,1.17337436393093,0.7427339656789731,0.9712027957930399,0.9712027957930399,False
2025-09-30,-0.06747441544957775,0.05129505193328239,-0.05129505193328239,-0.05938473369143007,0.09420161462117038,-0.29536461166314265,-0.0864718235955021,1.0942016146211704,0.7046353883368573,0.9135281764044979,0.9135281764044979,False
2025-12-31,-0.20587822460821328,0.06690948719073356,-0.06690948719073356,-0.13639385589947342,-0.13107067116047655,-0.34251140415320513,-0.21107145404812588,0.8689293288395235,0.6574885958467949,0.7889285459518741,0.7889285459518741,False
2026-03-31,0.0,0.0,-0.0,0.0,-0.13107067116047655,-0.34251140415320513,-0.21107145404812588,0.8689293288395235,0.6574885958467949,0.7889285459518741,0.7889285459518741,False
