feature,importance
adj_close_min_q,0.06788815
effr_m2,0.06625207
baa10y_m3,0.05921417
adj_close_last_q,0.05858178
effr_m1,0.05805682
pe_lag_1q,0.054309897
indpro_m1,0.04765633
aaa10y_m3,0.047179606
daily_return_m1_first20_std,0.04343085
delta_log_house_price,0.040804323
adj_close_max_q,0.039728068
daily_return_m1_first20_max,0.03909455
indpro_m0,0.033598427
volume_last_q,0.03267209
quarter_return,0.029555833
dcoilwtico_m2,0.027927691
umcsent_m3,0.027348088
daily_return_m1_first20_min,0.026651086
ind_growth_qoq,0.024872243
delta_unemployment,0.02377802
volume_m1_first20_std,0.022068769
volume_m1_first20_mean,0.020618917
daily_return_m1_first20_last,0.0197634
t3mff_m3,0.017476993
t10y3m_m2,0.014975576
dcoilwtico_m1,0.013592753
volume_m1_first20_last,0.01262507
effr_m3,0.011198198
daily_return_m1_first20_mean,0.0073930635
dcoilwtico_m3,0.0068466133
adj_close_m1_first20_max,0.0019364117
aaa10y_m1,0.0019081422
umcsent_m1,0.0009960303
m2sl_m0,0.0
m2sl_m1,0.0
m2sl_m2,0.0
unrate_m0,0.0
csushpisa_m0,0.0
indpro_m2,0.0
unrate_m1,0.0
unrate_m2,0.0
inflation_1y_proxy,0.0
csushpisa_m-1,0.0
csushpisa_m1,0.0
delta_log_m2,0.0
adj_close_m1_first20_last,0.0
cpi_m2,0.0
cpi_m1,0.0
cpi_m0,0.0
umcsent_m2,0.0
t3mff_m1,0.0
t10y3m_m3,0.0
t10y3m_m1,0.0
adj_close_m1_first20_mean,0.0
adj_close_m1_first20_std,0.0
baa10y_m2,0.0
baa10y_m1,0.0
adj_close_m1_first20_min,0.0
aaa10y_m2,0.0
t3mff_m2,0.0
